id,title,difficulty,tags,simlilar_questions
384,Shuffle an Array,2,"",""
385,Mini Parser,2,Stack|String,Flatten Nested List Iterator|Ternary Expression Parser
386,Lexicographical Numbers,2,"",""
387,First Unique Character in a String,1,"",""
388,Longest Absolute File Path,2,"",""
389,Find the Difference,1,Hash Table|Bit Manipulation,Single Number
390,Elimination Game,2,"",""
391,Perfect Rectangle,3,"",""
392,Is Subsequence,2,Binary Search|Dynamic Programming|Greedy,""
393,UTF-8 Validation,2,Bit Manipulation,""
394,Decode String,2,Depth-first Search|Stack,Encode String with Shortest Length
395,Longest Substring with At Least K Repeating Characters,2,"",""
396,Rotate Function,2,Math,""
397,Integer Replacement,2,Math|Bit Manipulation,""
398,Random Pick Index,2,Reservoir Sampling,Linked List Random Node
399,Evaluate Division,2,Graph,""
400,Nth Digit,1,Math,""
401,Binary Watch,1,Backtracking|Bit Manipulation,Letter Combinations of a Phone Number|Number of 1 Bits
402,Remove K Digits,2,Stack|Greedy,Create Maximum Number
403,Frog Jump,3,Dynamic Programming,""
404,Sum of Left Leaves,1,Tree,""
405,Convert a Number to Hexadecimal,1,Bit Manipulation,""
406,Queue Reconstruction by Height,2,Greedy,Count of Smaller Numbers After Self
407,Trapping Rain Water II,3,Breadth-first Search|Heap,Trapping Rain Water
408,Valid Word Abbreviation,1,"",""
409,Longest Palindrome,1,Hash Table,Palindrome Permutation
410,Split Array Largest Sum,3,Binary Search|Dynamic Programming,""
411,Minimum Unique Word Abbreviation,3,"",""
412,Fizz Buzz,1,"",""
413,Arithmetic Slices,2,Dynamic Programming|Math,Arithmetic Slices II - Subsequence
414,Third Maximum Number,1,Array,Kth Largest Element in an Array
415,Add Strings,1,Math,Add Two Numbers|Multiply Strings
416,Partition Equal Subset Sum,2,Dynamic Programming,""
417,Pacific Atlantic Water Flow,2,Depth-first Search|Breadth-first Search,""
418,Sentence Screen Fitting,2,"",""
419,Battleships in a Board,2,"",""
420,Strong Password Checker,3,"",""
421,Maximum XOR of Two Numbers in an Array,2,Bit Manipulation|Trie,""
422,Valid Word Square,1,"",""
423,Reconstruct Original Digits from English,2,Math,""
424,Longest Repeating Character Replacement,2,"",Longest Substring with At Most K Distinct Characters
425,Word Squares,3,"",""
432,All O`one Data Structure,3,Design,""
433,Minimum Genetic Mutation,2,"",""
434,Number of Segments in a String,1,String,""
435,Non-overlapping Intervals,2,Greedy,Minimum Number of Arrows to Burst Balloons
436,Find Right Interval,2,Binary Search,Data Stream as Disjoint Intervals
437,Path Sum III,1,Tree,Path Sum|Path Sum II|Path Sum IV
438,Find All Anagrams in a String,1,Hash Table,Valid Anagram|Permutation in String
439,Ternary Expression Parser,2,"",""
440,K-th Smallest in Lexicographical Order,3,"",""
441,Arranging Coins,1,Binary Search|Math,""
442,Find All Duplicates in an Array,2,Array,Find All Numbers Disappeared in an Array
444,Sequence Reconstruction,2,"",""
445,Add Two Numbers II,2,Linked List,Add Two Numbers
446,Arithmetic Slices II - Subsequence,3,Dynamic Programming,Arithmetic Slices
447,Number of Boomerangs,1,Hash Table,Line Reflection
448,Find All Numbers Disappeared in an Array,1,Array,First Missing Positive|Find All Duplicates in an Array
449,Serialize and Deserialize BST,2,Tree,Serialize and Deserialize Binary Tree|Find Duplicate Subtrees
450,Delete Node in a BST,2,Tree,""
451,Sort Characters By Frequency,2,Hash Table|Heap,Top K Frequent Elements
452,Minimum Number of Arrows to Burst Balloons,2,Greedy,Meeting Rooms II|Non-overlapping Intervals
453,Minimum Moves to Equal Array Elements,1,Math,Minimum Moves to Equal Array Elements II
455,Assign Cookies,1,Greedy,""
457,Circular Array Loop,2,"",""
458,Poor Pigs,1,"",""
459,Repeated Substring Pattern,1,String,Implement strStr()
460,LFU Cache,3,Design,LRU Cache|Design In-Memory File System
461,Hamming Distance,1,Bit Manipulation,Number of 1 Bits|Total Hamming Distance
462,Minimum Moves to Equal Array Elements II,2,Math,Best Meeting Point|Minimum Moves to Equal Array Elements
463,Island Perimeter,1,Hash Table,""
464,Can I Win,2,Dynamic Programming|Minimax,Flip Game II|Guess Number Higher or Lower II|Predict the Winner
465,Optimal Account Balancing,3,"",""
466,Count The Repetitions,3,Dynamic Programming,""
467,Unique Substrings in Wraparound String,2,Dynamic Programming,""
468,Validate IP Address,2,String,""
469,Convex Polygon,2,"",""
471,Encode String with Shortest Length,3,"",""
472,Concatenated Words,3,Dynamic Programming|Trie|Depth-first Search,Word Break II
473,Matchsticks to Square,2,Depth-first Search,""
474,Ones and Zeroes,2,Dynamic Programming,Non-negative Integers without Consecutive Ones
475,Heaters,1,Binary Search,""
476,Number Complement,1,Bit Manipulation,""
477,Total Hamming Distance,2,Bit Manipulation,Hamming Distance
479,Largest Palindrome Product,1,"",""
480,Sliding Window Median,3,"",Find Median from Data Stream
481,Magical String,2,"",""
482,License Key Formatting,2,"",""
483,Smallest Good Base,3,Binary Search|Math,""
484,Find Permutation,2,"",""
485,Max Consecutive Ones,1,Array,Max Consecutive Ones II
486,Predict the Winner,2,Dynamic Programming|Minimax,Can I Win
487,Max Consecutive Ones II,2,"",""
488,Zuma Game,3,Depth-first Search,""
490,The Maze,2,"",""
491,Increasing Subsequences,2,Depth-first Search,Maximum Length of Pair Chain
492,Construct the Rectangle,1,"",""
493,Reverse Pairs,3,Binary Indexed Tree|Segment Tree|Binary Search Tree|Divide and Conquer,Count of Smaller Numbers After Self|Count of Range Sum
494,Target Sum,2,Depth-first Search|Dynamic Programming,Expression Add Operators
495,Teemo Attacking,2,Array,Merge Intervals|Can Place Flowers|Dota2 Senate
496,Next Greater Element I,1,Stack,Next Greater Element II|Next Greater Element III
498,Diagonal Traverse,2,"",""
499,The Maze III,3,"",""
500,Keyboard Row,1,Hash Table,""
501,Find Mode in Binary Search Tree,1,Tree,Validate Binary Search Tree
502,IPO,3,Heap|Greedy,""
503,Next Greater Element II,2,Stack,Next Greater Element I|Next Greater Element III
504,Base 7,1,"",""
505,The Maze II,2,"",""
506,Relative Ranks,1,"",""
507,Perfect Number,1,Math,""
508,Most Frequent Subtree Sum,2,Tree|Hash Table,Subtree of Another Tree
513,Find Bottom Left Tree Value,2,Tree|Depth-first Search|Breadth-first Search,""
514,Freedom Trail,3,Depth-first Search|Divide and Conquer|Dynamic Programming,""
515,Find Largest Value in Each Tree Row,2,Tree|Depth-first Search|Breadth-first Search,""
516,Longest Palindromic Subsequence,2,Dynamic Programming,Longest Palindromic Substring|Palindromic Substrings
517,Super Washing Machines,3,Dynamic Programming|Math,""
518,Coin Change 2,2,"",""
520,Detect Capital,1,String,""
521,Longest Uncommon Subsequence I ,1,String,Longest Uncommon Subsequence II
522,Longest Uncommon Subsequence II,2,String,Longest Uncommon Subsequence I 
523,Continuous Subarray Sum,2,Dynamic Programming|Math,Subarray Sum Equals K
524,Longest Word in Dictionary through Deleting,2,Two Pointers|Sort,""
525,Contiguous Array,2,Hash Table,Maximum Size Subarray Sum Equals k
526,Beautiful Arrangement,2,Backtracking,Beautiful Arrangement II
527,Word Abbreviation,3,"",""
529,Minesweeper,2,Depth-first Search|Breadth-first Search,""
530,Minimum Absolute Difference in BST,1,Binary Search Tree,K-diff Pairs in an Array
531,Lonely Pixel I,2,"",""
532,K-diff Pairs in an Array,1,Two Pointers|Array,Minimum Absolute Difference in BST
533,Lonely Pixel II,2,"",""
534,Design TinyURL,2,"",Encode and Decode TinyURL
535,Encode and Decode TinyURL,2,Hash Table|Math,Design TinyURL
536,Construct Binary Tree from String,2,"",""
537,Complex Number Multiplication,2,Math|String,""
538,Convert BST to Greater Tree,1,Tree,""
539,Minimum Time Difference,2,String,""
540,Single Element in a Sorted Array,2,"",""
541,Reverse String II,1,String,Reverse String|Reverse Words in a String III
543,Diameter of Binary Tree,1,Tree,""
544,Output Contest Matches,2,"",""
545,Boundary of Binary Tree,2,"",""
546,Remove Boxes,3,Dynamic Programming|Depth-first Search,Strange Printer
547,Friend Circles,2,Depth-first Search|Union Find,Number of Connected Components in an Undirected Graph|Judge Route Circle
548,Split Array with Equal Sum,2,"",""
549,Binary Tree Longest Consecutive Sequence II,2,"",""
551,Student Attendance Record I,1,String,Student Attendance Record II
552,Student Attendance Record II,3,Dynamic Programming,Student Attendance Record I
553,Optimal Division,2,Math|String,""
554,Brick Wall,2,Hash Table,""
555,Split Concatenated Strings,2,"",""
556,Next Greater Element III,2,String,Next Greater Element I|Next Greater Element II
557,Reverse Words in a String III,1,String,Reverse String II
560,Subarray Sum Equals K,2,Array|Map,Two Sum|Continuous Subarray Sum
561,Array Partition I,1,Array,""
562,Longest Line of Consecutive One in Matrix,2,"",""
563,Binary Tree Tilt,1,Tree,""
564,Find the Closest Palindrome,3,String,""
565,Array Nesting,2,Array,Nested List Weight Sum|Flatten Nested List Iterator|Nested List Weight Sum II
566,Reshape the Matrix,1,Array,""
567,Permutation in String,2,Two Pointers,Minimum Window Substring|Find All Anagrams in a String
568,Maximum Vacation Days,3,"",""
569,Median Employee Salary,3,"",""
570,Managers with at Least 5 Direct Reports,2,"",""
571,Find Median Given Frequency of Numbers,3,"",""
572,Subtree of Another Tree,1,Tree,Count Univalue Subtrees|Most Frequent Subtree Sum
573,Squirrel Simulation,2,"",""
574,Winning Candidate,2,"",""
575,Distribute Candies,1,Hash Table,""
576,Out of Boundary Paths,2,Dynamic Programming|Depth-first Search,""
577,Employee Bonus,1,"",""
578,Get Highest Answer Rate Question,2,"",""
579,Find Cumulative Salary of an Employee,3,"",""
580,Count Student Number in Departments,2,"",""
581,Shortest Unsorted Continuous Subarray,1,Array,""
582,Kill Process,2,"",""
583,Delete Operation for Two Strings,2,String,Edit Distance
584,Find Customer Referee,1,"",""
585,Investments in 2016,2,"",""
586,Customer Placing the Largest Number of Orders,1,"",""
587,Erect the Fence,3,Geometry,""
588,Design In-Memory File System,3,"",""
591,Tag Validator,3,String|Stack,Add Bold Tag in String
592,Fraction Addition and Subtraction,2,Math,Solve the Equation
593,Valid Square,2,Math,""
594,Longest Harmonious Subsequence,1,Hash Table,""
595,Big Countries,1,"",""
596,Classes More Than 5 Students,1,"",""
597,Friend Requests I: Overall Acceptance Rate,1,"",""
598,Range Addition II,1,Math,Range Addition
599,Minimum Index Sum of Two Lists,1,Hash Table,Intersection of Two Linked Lists
600,Non-negative Integers without Consecutive Ones,3,Dynamic Programming,House Robber|House Robber II|Ones and Zeroes
601,Human Traffic of Stadium,3,"",""
602,Friend Requests II: Who Has the Most Friends,2,"",""
603,Consecutive Available Seats,1,"",""
604,Design Compressed String Iterator,1,"",""
605,Can Place Flowers,1,Array,Teemo Attacking
606,Construct String from Binary Tree,1,Tree|String,Construct Binary Tree from String|Find Duplicate Subtrees
607,Sales Person,1,"",""
608,Tree Node,2,"",""
609,Find Duplicate File in System,2,Hash Table|String,""
610,Triangle Judgement,1,"",""
611,Valid Triangle Number,2,Array,3Sum Smaller
612,Shortest Distance in a Plane,2,"",""
613,Shortest Distance in a Line,1,"",""
614,Second Degree Follower,2,"",""
615,Average Salary: Departments VS Company,3,"",""
616,Add Bold Tag in String,2,"",""
617,Merge Two Binary Trees,1,Tree,""
618,Students Report By Geography,3,"",""
619,Biggest Single Number,1,"",""
620,Not Boring Movies,1,"",""
621,Task Scheduler,2,Array|Greedy|Queue,Rearrange String k Distance Apart
623,Add One Row to Tree,2,Tree,""
624,Maximum Distance in Arrays,1,"",""
625,Minimum Factorization,2,"",""
626,Exchange Seats,2,"",""
627,Swap Salary,1,"",""
628,Maximum Product of Three Numbers,1,Array|Math,Maximum Product Subarray
629,K Inverse Pairs Array,3,Dynamic Programming,""
630,Course Schedule III,3,Greedy,Course Schedule|Course Schedule II
631,Design Excel Sum Formula,3,"",""
632,Smallest Range,3,Hash Table|Two Pointers|String,Minimum Window Substring
633,Sum of Square Numbers,1,Math,Valid Perfect Square
634,Find the Derangement of An Array,2,"",""
635,Design Log Storage System,2,"",""
636,Exclusive Time of Functions,2,Stack,""
637,Average of Levels in Binary Tree,1,Tree,Binary Tree Level Order Traversal|Binary Tree Level Order Traversal II
638,Shopping Offers,2,Dynamic Programming|Depth-first Search,""
639,Decode Ways II,3,Dynamic Programming,Decode Ways
640,Solve the Equation,2,Math,Fraction Addition and Subtraction
642,Design Search Autocomplete System,3,"",""
643,Maximum Average Subarray I,1,Array,Maximum Average Subarray II
644,Maximum Average Subarray II,3,"",""
645,Set Mismatch,1,Hash Table|Math,Find the Duplicate Number
646,Maximum Length of Pair Chain,2,Dynamic Programming,Longest Increasing Subsequence|Increasing Subsequences
647,Palindromic Substrings,2,Dynamic Programming|String,Longest Palindromic Substring|Longest Palindromic Subsequence|Palindromic Substrings
648,Replace Words,2,Hash Table|Trie,Implement Trie (Prefix Tree)
649,Dota2 Senate,2,Greedy,Teemo Attacking
652,Find Duplicate Subtrees,2,Tree,Serialize and Deserialize Binary Tree|Serialize and Deserialize BST|Construct String from Binary Tree
653,Two Sum IV - Input is a BST,1,Tree,Two Sum|Two Sum II - Input array is sorted|Two Sum III - Data structure design
654,Maximum Binary Tree,2,Tree,""
655,Print Binary Tree,2,Tree,""
656,Coin Path,3,"",""
657,Judge Route Circle,1,String,Friend Circles
658,Find K Closest Elements,2,Binary Search,Guess Number Higher or Lower|Guess Number Higher or Lower II
659,Split Array into Consecutive Subsequences,2,Heap|Greedy,Top K Frequent Elements
660,Remove 9,3,"",""
661,Image Smoother,1,Array,""
662,Maximum Width of Binary Tree,2,Tree,""
663,Equal Tree Partition,2,"",""
664,Strange Printer,3,Dynamic Programming|Depth-first Search,Remove Boxes
665,Non-decreasing Array,1,Array,""
666,Path Sum IV,2,"",""
667,Beautiful Arrangement II,2,Array,Beautiful Arrangement
668,Kth Smallest Number in Multiplication Table,3,Binary Search,Kth Smallest Element in a Sorted Matrix
669,Trim a Binary Search Tree,1,Tree,""
670,Maximum Swap,2,Array|Math,Create Maximum Number
671,Second Minimum Node In a Binary Tree,1,Tree,Kth Smallest Element in a BST
672,Bulb Switcher II,2,Math,Bulb Switcher
259,3Sum Smaller,2,"",""
454,4Sum II,2,Binary Search|Hash Table,4Sum
650,2 Keys Keyboard,2,Dynamic Programming,4 Keys Keyboard
651,4 Keys Keyboard,2,"",""
542,01 Matrix,2,Depth-first Search|Breadth-first Search,""
456,132 Pattern,2,Stack,""
